Название,Ссылка,Цена,Тип продукта,Страна,Содержание сахара,Цвет,Регион,"Объем, л",Сорт винограда,Классификация,Крепость,Бренд,Рейтинги,Аромат,Вкус,Способ производства,Гастрономия,Награды,Интересные факты,Философия производства,Год,Подарочная упаковка,Состав,Кислотность,Vivino
Baron d’Arignac,https://verigo.ru/product/baron-darignac-3,1 500 ₽,Вино,Франция,полусладкое,Интенсивный рубиново-красный цвет,,"0,75",Гренаш; Темпранильо,,12%,Baron d’Arignac,vivino 3.8,"Яркий, приятный аромат, слегка  фруктовый","Легкое, приятное полусладкое вино.",,Вино прекрасно подходит для мясных блюд . Оно также может быть подано как сопровождение к сырам,,,,,,,,
Baron d’Arignac,https://verigo.ru/product/baron-darignac-57dc97,1 500 ₽,Вино,Франция,полусладкое,"Цвет светло-розовый, прозрачный.",,"0,75",Гренаш; Темпранильо,,"10,5%",Baron d’Arignac,,"Чистый аромат, с оттенками фруктов, без сложности","На вкус хорошо сбалансированное, эластичное и живое вино",,Вино прекрасно подходит для рыбных блюд . Оно также может быть подано как аперитив и в качестве сопровождения десертов,,,,,,,,
Baron D’Arignac Blanc de Blancs,https://verigo.ru/product/baron-darignac-blanc-de-blancs-2,1 720 ₽,Игристое вино,Франция,брют,Бледно-желтый и элегантный с мелкими пузырьками,,"0,75",Айрен; Уньи Блан,,11%,Baron d’Arignac,,Фруктовое и элегантное игристое вино с ароматами свежего масла и торта,Свежее и гармоничное игристое вино.,,Вино прекрасно подходит для праздничных ужинов и как сопровождение  к фруктам и десертам,,,,,,,,
Baron D’Arignac Blanc de Blancs,https://verigo.ru/product/baron-darignac-blanc-de-blancs,1 720 ₽,Игристое вино,Франция,полусухое,Бледно-желтый и элегантный с мелкими пузырьками,,"0,75",Айрен; Уньи Блан,,11%,Baron d’Arignac,vivino 3.8,Фруктовое и элегантное игристое вино с ароматами свежего масла и торта,Свежее и гармоничное игристое вино.,,Вино прекрасно подходит для праздничных ужинов и как сопровождение  к фруктам и десертам,,,,,,,,
Baron D’Arignac Carte D’Or Cabernet Sauvignon,https://verigo.ru/product/baron-darignac-carte-dor-cabernet-sauvignon,1 600 ₽,Вино,Франция,полусухое,Ярко-красный гранатовый цвет,,"0,75",Каберне Совиньон,,13%,Baron d’Arignac,,"Аромат раскрывает приятные черные и красные фруктовые ароматы, такие как малина и черная смородина",Вкус с выраженными фруктовыми нотами,,Вино прекрасно подходит для мясных блюд . Оно также может быть подано как сопровождение сырам,,,,,,,,
Baron D’Arignac Carte D’Or Chardonnay,https://verigo.ru/product/baron-darignac-carte-dor-chardonnay,1 600 ₽,Вино,Франция,сухое,"Очень светло-желтый, со светлыми оттенками зеленого.",,"0,75",Шардоне,,"11,5%",Baron d’Arignac,vivino 3.7,"Аромат чистый, несколько оттенков белых цветов, без сложности","Вкус округлый , приятное, легко пьющееся вино.",,Вино прекрасно подходит для рыбных блюд . Оно также может быть подано как аперитив и в винных барах.,,,,,,,,
Baron D’Arignac Carte D’Or Merlot,https://verigo.ru/product/baron-darignac-carte-dor-merlot,1 570 ₽,Вино,Франция,полусладкое,Приятный фиолетовый цвет,,"0,75",Мерло,,12%,Baron d’Arignac,,Аромат спелых черных и красные фруктов,Насыщенный фруктовый вкус. Небо  сложное и эластичное.,,Вино прекрасно подходит для мясных блюд . Оно также может быть подано как сопровождение сырам,,,,,,,,
Baron D’Arignac Carte D’Or Muscat,https://verigo.ru/product/baron-darignac-carte-dor-muscat,1 600 ₽,Вино,Франция,полусладкое,"Бледно-желтый, с переливами",,"0,75",Мускат,,"10,5%",Baron d’Arignac,vivino 4.0,"Ноты персика, очень ароматное и нежное","Вкус выраженный, ароматный, с  длительным послевкусием",,Вино прекрасно подходит для десертов и фруктов.,,,,,,,,
Baron D’Arignac Carte D’Or Syrah Rose,https://verigo.ru/product/baron-darignac-carte-dor-syrah-rose,0 ₽,Вино,Франция,полусухое,"Светло-розовый, не слишком насыщенный",,"0,75",Сира,,"12,5%",Baron d’Arignac,vivino 3.8,"Нос мощный, с нотами красных ягод, слегка пряный и цветочный.","Вкус свежий,  оттенки красных фруктов. Хорошо сбалансированный",,Вино прекрасно подходит для рыбных блюд . Отлично сопровождает фрукты и десерты,,,,,,,,
Baron D’Arignac Rose,https://verigo.ru/product/baron-darignac-rose,1 720 ₽,Игристое вино,Франция,полусухое,"Потрясающие лососево-розовые тона, очень привлекательный",,"0,75",Бобаль; Темпранильо,,11%,Baron d’Arignac,vivino 3.7,Аромат фруктовый и выразительный,Гармоничное и сбалансированное игристое вино,,Вино прекрасно подходит для праздничных ужинов и как сопровождение  к фруктам и десертам,,,,,,,,
"Blanc Foussy Cuvee Prestige, Cremant de Loire AOP",https://verigo.ru/product/blanc-foussy-cuvee-prestige-cremant-de-loire-aop,2 430 ₽,Игристое вино,Франция,брют,Бледно-золотистого цвета.,Долина Луары,"0,75",Каберне Фран; Шардоне; Шенен Блан,,12%,Blanc Foussy,,"Аромат груши и мандарина с манговыми и миндальными оттенками. Персик, зелёное яблоко, а также булочка и сыр.",Яркое и сбалансированное вино. Длительное послевкусие с оттенком лимона и жареных лесных орехов.,Традиционный способ производства игристых вин с выдержкой в бутылке на осадке минимум 18 месяцев.,"Превосходный аперитив. Отличное сочетание с рыбой на гриле, цыплёнком-корнишон и Камамбером.",,"Долина Луары знаменита средневековыми замками, благодаря которым регион внесен в список Всемирного наследия ЮНЕСКО. Вина Луары уже 8 веков ассоциируются с королевским двором. В 1154 году Генрих II Плантагенет, граф Анжуйский, став королем Англии, прославил вина своей родины, передав эту традицию своим потомкам.",,,,,,
"Blanc Foussy Cuvee Prestige Rose, Cremant de Loire AOP",https://verigo.ru/product/blanc-foussy-cuvee-prestige-rose-cremant-de-loire-aop,2 490 ₽,Игристое вино,Франция,брют,Светло-лососевого цвета с ярким блеском.,Долина Луары,"0,75",Каберне Фран,,12%,Blanc Foussy,,"Аромат с палитрой оттенков спелых ягод клубники, малины и лепестков розы.","Освежающее и элегантное вино, со сливочными и ягодными оттенками, гармоничной кислотностью и нотками барбариса и миндаля в послевкусии.",Ферментация в стальных ёмкостях при температуре 16°C.Традиционный способ производства игристых вин с выдержкой в бутылке на осадке минимум 18 месяцев.,"Прекрасный аперитив и рекомендация к салату с креветками, мясу кролика и молодым сырам.",,"Долина Луары – это второй по объему производства игристых вин регион во Франции после Шампани. Каберне фран – визитная карточка Луары и один из древнейших сортов красного винограда, родитель мерло и каберне совиньона, долгое время находившийся в тени своих более известных отпрысков.",,,,,,
"Blau Verd, DO Montsant",https://verigo.ru/product/blau-verd-do-montsant,2 880 ₽,Вино,Испания,сухое,"Цвет яркий рубиновый, элегантный с вкраплениями темно – вишневого оттенка.",Каталония,"0,75",Гарнача; Кариньян,DO Montsant,14%,Gil Family Estates,,"Аромат  кардамона, малины, нот красного чая и оттенка лакрицы.","Это вино средней насыщенности демонстрирует отличный баланс умеренных и изысканных танинов в сочетании с нотками терпкости, подкрепленными нотками кирша в пикантном послевкусии.","Виноградники Кариняна высажены на глинистых почвах,  виноградники Гарначи - на сланцевых почвах, также известных как Лликорелла.","Рис, макароны (лапша, спагетти, макароны), овощи, шампиньоны, тушеное мясо, колбаса, свинина, ростбиф, красное и белое мясо, с молодыми сырами",,,,,,,,
"Bleu Merlot, IGP Pays d'Oc",https://verigo.ru/product/blyu-merlo,4 750 ₽,Вино,Франция,полусладкое,Красивого гранатового цвета,Лангедок,"1,5",Мерло,IGP Pays d'Oc,"12,5%",Blue Merlot,,Насыщенный ягодно-фруктовый аромат,"Сочное, фруктовое Мерло, с выраженными вишневыми и сливовыми нотами.",,"Вино рекомендуется подавать к блюдам из красного мяса, барбекю, мясным закускам и сырам.",,,,,,,,
"Bluegray, DOQ Priorat",https://verigo.ru/product/bluegray-doq-priorat,5 100 ₽,Вино,Испания,сухое,Вино выразительного красного цвета,Каталония,"0,75",Гарнача; Каберне Совиньон; Масуэло,DOQ Priorat,15%,Gil Family Estates,vivino 3.7,Аромат черной вишни и спелой ежевики.,"Во вкусе оттенки солодки, минеральные и пряные ноты с хорошо сбалансированными дубильными веществами. Послевкусие сбалансированное и элегантное.",Выдержка 12 месяцев в бочках из французского дуба.,"Вино составит отличную пару паэлье, макаронным изделиям (лапша, спагетти и др.), овощам, грибам, красному и белому мясу (тушеному, приготовленному на гриле, жареному, под соусом), колбасам, сырам.",,,,,,,,
Bon Voyage Cabernet Sauvignon,https://verigo.ru/product/bon-voyage-cabernet-sauvignon,1 080 ₽,Безалкогольное вино,Германия,сладкое,"Вино насыщенного, практически черного цвета, оттенки от пурпурного к фиолетовому.",,"0,75",Каберне Совиньон,,"0,5%",Bon Voyage,,"Аромат красных фруктов, черной смородины, оттенки специй, типичные для винограда сорта каберне-совиньон.","Тонкие танины, плотная структура, длительное послевкусие",Процесс деалколизации методом вытягивания алкоголя в вакууме под низким давлением,"Прекрасно освежает, идеально в качестве сопровождения десертных блюд и легких сыров",,,,,,,,
Bon Voyage Chardonnay,https://verigo.ru/product/bon-voyage-chardonnay,1 280 ₽,Безалкогольное вино; Игристое вино,Германия,сладкое,Вино светло-золотистого цвета с красивым жемчужным отблеском.,,"0,75",Шардоне,,"0,5%",Bon Voyage,,"Аромат сливочно-кремовый, с легкими нотами яблочного сиропа. Вкус округлый, с приятной сладостью","Вкус округлый, с приятной сладостью",Процесс деалколизации методом вытягивания алкоголя в вакууме под низким давлением,"Идеально с морепродуктами, белым мясом и сырами.",,,,,,,,
Bon Voyage Pinot Noir,https://verigo.ru/product/bon-voyage-pinot-noir,1 280 ₽,Безалкогольное вино; Игристое вино,Германия,сладкое,"Вино нежно-розового цвета, с нежными жемчужным отблеском.",,"0,75",Пино Нуар,,"0,5%",Bon Voyage,,"В аромате выразительный фруктовый букет, с оттенками малины и ежевики.","Вкус деликатный, освежающий, с легкой кислинкой",Процесс деалколизации методом вытягивания алкоголя в вакууме под низким давлением,"Идеально с жареным и приготовленным на гриле мясом, средиземноморской кухней и сырами.",,,,,,,,
Bon Voyage Sauvignon Вlanc,https://verigo.ru/product/bon-voyage-sauvignon-vlanc,1 080 ₽,Безалкогольное вино,Германия,сладкое,Вино светло-желтого цвета с легкими зеленоватыми бликами.,,"0,75",Совиньон Блан,,"0,5%",Bon Voyage,,"Аромат выразительный , с оттенками белых цветов, тропических фруктов, с минеральной кислинкой.","Вкус округлый, приятный, сбалансированный, с цитрусовыми нюансами",Процесс деалколизации методом вытягивания алкоголя в вакууме под низким давлением,"Прекрасно освежает, идеально в качестве сопровождения десертных блюд и легких сыров",,,,,,,,
"Bree Chardonnay, IGP Pays d'Oc",https://verigo.ru/product/bree-chardonnay-igp-pays-doc-2,1 710 ₽,Вино,Франция,полусухое,Вино  красивого светло-желтого цвета.,Лангедок,"0,75",Шардоне,IGP Pays d'Oc,12%,Bree,,Аромат  фруктовый и элегантный.,"Полнотелое, свежее, с удивительным фруктовым вкусом с ореховыми нотами",,,,,,,,,,
Bree Free,https://verigo.ru/product/bri-fri,1 020 ₽,Безалкогольное вино,Германия,полусладкое,"Темно-фиолетового, практически черного цвета.",,"0,75",Мерло,,"0,5%",Bree,,"Выразительный аромат с оттенками черной смородины, вишни, ежевики и чернослива, дополненными пряными штрихами.","Вкус сочный, округлый, хорошо сбалансированный, с фруктово-пряными нотами и продолжительным послевкусием.",Процесс деалколизации методом вытягивания алкоголя в вакууме под низким давлением,"Вино станет идеальным сопровождением к бургерам, пицце и карпаччо.",,,,,,,,
Bree Free,https://verigo.ru/product/bri-fri-2,1 020 ₽,Безалкогольное вино,Германия,полусладкое,Бледно-розового цвета.,,"0,75",Мерло,,"0,5%",Bree,,"Соблазнительный аромат вина наполнен с оттенками лесных ягод, среди которых наиболее ярко ощутимы тона малины и ежевики.","Приятный, нежный вкус отличается мягкостью и шелковистостью, оставляя после себя освежающее послевкусие с пикантной кислинкой.",Процесс деалколизации методом вытягивания алкоголя в вакууме под низким давлением,"Вино рекомендуется подавать к легким закускам, фруктовым салатам, ягодным десертам, морепродуктам. Вино станет хорошим выбором для пикника.",,,,,,,,
Bree Free,https://verigo.ru/product/bri-fri-3,1 020 ₽,Безалкогольное вино,Германия,полусладкое,Светло-золотистый цвет с зеленоватыми отблесками.,,"0,75",Шардоне,,"0,5%",Bree,,"Аромат с оттенками цитрусовых и тропических фруктов, украшенных цветочными, травяными и минеральными штрихами.","Свежий, чистый, прекрасно сбалансированный вкус с нотами трав, лимона, грейпфрута и крыжовника, с гладкой текстурой и минеральным послевкусием.",Процесс деалколизации методом вытягивания алкоголя в вакууме под низким давлением,"Вино рекомендуется подавать к блюдам из рыбы, морепродуктов, белого мяса, салатам и закускам.",,,,,,,,
"Bree Merlot, IGP Pays d'Oc",https://verigo.ru/product/bri-merlo,1 690 ₽,Вино,Франция,сухое,Красивый красный цвет с фиолетовыми оттенками,Лангедок,"0,75",Мерло,IGP Pays d'Oc,13%,Bree,,Роскошное красное вино с ароматом лесных ягод.,"Мягкое и пряное, с выразительным вкусом и тонкой структурой.",,"Вино составит отличную пару пасте, телятине и красному мясу.",,,,,,,,
Bree Pinot Noir Rose,https://verigo.ru/product/bri-pino-nuar-roze-2,1 680 ₽,Вино,Германия,полусладкое,Вино блестяще-розового цвета.,,"0,75",Пино Нуар,,"11,5%",Bree,vivino 3.7,"Легкое, элегантное , с выраженным фруктовым ароматом","Фруктовый вкус . Яркие ноты малины, красной смородины и клубники.",,"Легкое, фруктовое, идеально подходит к морепродуктам, рыбе, салатам, холодным закускам и блюдам из птицы.",,,,,,,,
"Bree Riesling, QbA Mosel",https://verigo.ru/product/bri-risling,1 660 ₽,Вино,Германия,полусладкое,Цвет бледно-золотистый,Мозель,"0,75",Рислинг,QbA Mosel,12%,Bree,vivino 3.7,"Свежие ароматы абрикоса и персика,","Элегантное вино с балансом приятной сладости во вкусе, хорошо структурированное, полнотелое. нотки желтых сочных фруктов (персик, груша, слива)",,,,,,,,,,
Bree Secco Chardonnay,https://verigo.ru/product/bree-secco-chardonnay,470 ₽,Игристое вино,Италия,полусухое,Светло-соломенного цвета.,,"0,2",Шардоне,,11%,Bree,,"Аромат жёлтого яблока, сливы, ананаса и лайма.","Во вкусе можно почувствовать нотку зелёного яблока, лимона и апельсиновой цедры с лёгким показыванием на языке.","Традиционная ферментация в стали. Вторничное брожение проходит в больших чанах под давлением от 1 до 3 атм., для насыщения напитка углекислым газом.","Прекрасно дополнит овощные салаты с медовым соусом, крудо из лосося и фруктовый салат.",,"Жемчужными называют вина с меньшим по сравнению с традиционными игристыми давлением в бутылке (до 3 атм.), благодаря чему образующийся мусс более тонкий, а вкус – мягкий и фруктовый.",,,,,,
Bree Secco Syrah Rose,https://verigo.ru/product/bree-secco-syrah-rose,470 ₽,Игристое вино,Италия,полусухое,Светло-малинового цвета.,,"0,2",Сира,,11%,Bree,,"Фруктовый аромат красных ягод, яблока и груши.","Свежий вкус с нотками клубники, айвы и лимонной цедры. Лёгкое приятное показывание на языке.","Традиционная ферментация в стали. Вторничное брожение проходит в больших чанах под давлением от 1 до 3 атм., для насыщения напитка углекислым газом.","Прекрасно дополнит ягодное ассорти, бисквитный торт и пирог из красной рыбы.",,"Лучшее пикниковое розе! Вино обладает лёгкой игристостью, благодаря чему оно сразу освежает в жаркий летний день и оставляет во вкусе шлейф из клубники, малины и сливы.",,,,,,
"Centrico Pinot Noir, Casablanca DO",https://verigo.ru/product/centrico-pinot-noir-casablanca-do,1 720 ₽,Вино,Чили,сухое,Тёмно-вишнёвого цвета.,Долина Аконкагуа,"0,75",Пино Нуар,DO Casablanca,"12,5%",Centrico,,Раскрывается ароматами малины и клубники с ванильными и лакричными оттенками.,Среднетелое фруктовое вино с малиной и спелой вишней во вкусе. Мягкие интегрированные танины и яркая кислотность. Длительное послевкусие.,Холодная мацерация в течение 3-х дней. Ферментация в стальных ёмкостях при температуре 24°C. Часть ассамбляжа непродолжительное время выдерживалась в контакте с дубом.,"Прекрасно дополнит тунец на гриле, козий сыр и ризотто.",,"Долина Касабланка – прибрежный регион в районе Аконкагуа, который относится к климатической зоне Costa (берег) и находится под влиянием Тихого океана. Прохладный средиземноморский климат, утренний туман позволяют получить освежающие вина из сортов совиньон блан, шардоне, пино нуар.",органика; природосообразное виноделие,,,,,
Champagne Lamoureux Reserve,https://verigo.ru/product/champagne-lamoureux-reserve-2,8 800 ₽,Игристое вино,Франция,брют,Золотисто-соломенного цвета с красивым жемчужным отблеском.,Шампань,"0,75",Пино Нуар,AOP Champagne,12%,Lamoureux,vivino 3.9,"В бокале раскрывается нотками жёлтых фруктов, мирабель, абрикосов, а также нюансами лесных орехов и миндаля.","Освежающий и благородный вкус, кульминацией которого является длительное и тонкое послевкусие. Хлебные нотки  придают ещё больше изысканности.",Традиционная ферментация в стали. Вторничная ферментация проходит в бутылке по шампанскому методу с длительной выдержкой на осадке.,"Прекрасно сочетается с дорадой на гриле, красной икрой и фуа-гра.",,"Ле Рисе – самая большая по площади виноградников коммуна Шампани, которая находится на юге региона Кот-де-Бар. Здесь, в царстве пино нуара получается самое ягодное и яркое шампанское.",органика,,,,,
Champagne Lamoureux Reserve,https://verigo.ru/product/champagne-lamoureux-reserve,5 520 ₽,Игристое вино,Франция,брют,Бледно-золотисто-желтый цвет с красивым мелко жемчужным отблеском,Шампань,"0,375",Пино Нуар,AOP Champagne,12%,Lamoureux,vivino 3.9,"Ароматы желтых фруктов - мирабель, абрикосы и нотки лесных орехов, которые после открытия переходят в более сдержанные ноты перца и миндаля.","Освежающий и благородный вкус, кульминацией которого является долгое, тонкое терпкое послевкусие. Хлебные нотки  придают еще больше изысканности.",Классический метод шампануаз со вторичной ферментацией в бутылке.,,,,,,,,,
Champagne Lamoureux Rose,https://verigo.ru/product/champagne-lamoureux-rose,9 920 ₽,Игристое вино,Франция,брют,Интенсивный розовый цвет со светло-фиолетовым блеском и мелко-жемчужным отблеском,Шампань,"0,75",Пино Менье; Пино Нуар,AOP Champagne,12%,Lamoureux,,"Аромат малины, вишни и особенно лесной земляники.","Идеальное сочетание фруктов и структуры, которое переходит в изысканный и живой финал",Классический метод шампануаз со вторичной ферментацией в бутылке.,,,,,,,,,
"Champagne Michel Genet Grand Cru MG BB Nature, AOP Champagne",https://verigo.ru/product/champagne-michel-genet-grand-cru-mg-bb-nature,10 840 ₽,Игристое вино,Франция,экстра брют,Бледно-жёлтого цвета с золотым блеском.,Шампань,"0,75",Шардоне,AOP Champagne,"12,5%",Michel Genet,Decanter 91,"Многогранный аромат косточковых фруктов, жимолости, боярышника, с оттенками ментола и солодки, а также свежеиспечённой булочки.","Сливочный интенсивный вкус с нотками безе, лесных орехов и свежего миндаля, утончённый и деликатный. Длительное послевкусие с нюансами экзотических фруктов.",Традиционная ферментация с последующей малолактикой. Вторичное брожение в бутылке и выдержка на осадке 21 месяц.,"Прекрасное дополнение к устрицам, ракообразным, салату с гребешками и сырами Камамбер и Бри.",Decanter 2020 – 91/100 Concours de Bruxelles 2019 – Золотая медаль,Коммуна Шуйи находится в регионе Кот-де-Блан и является одной из 17 Grand Cru Шампани. Здесь вотчина сорта шардоне. Шампанские из Кот-де-Блана по стилистике  считаются мощными и сливочными.,природосообразное виноделие,2019,,,,
"Champagne Michel Genet Grand Cru MG BB Redblend Rose, AOP Champagne",https://verigo.ru/product/champagne-michel-genet-grand-cru-mg-bb-redblend-rose,13 070 ₽,Игристое вино,Франция,брют,Бледно-лососевого цвета с оранжевым оттенком.,Шампань,"0,75",Пино Нуар; Шардоне,AOP Champagne,"12,5%",Michel Genet,,"Аромат раскрывается нежными нотами фиалки, розы, пиона и ириса. За ними следуют ягоды: красная смородина, вишня, малина.","Лёгкий и освежающий вкус с приятным покалыванием пузырьков. Ноты цитрусовых, кизила, клубники и оттенки лаванды. Послевкусие фруктовое с  оттенками апельсиновой корки.","Традиционная ферментация с последующей малолактикой. Ассамбляж кюве из пино нуара и шардоне на этапе дозажа. Вторичное брожение в бутылке и выдержка на осадке от 3,5 года.","Интересное дополнение к димсаму с креветками,  карпаччо из говядины, телятине.",Concours de Bruxelles 2019 – Золотая медальConcours General Agricole de Paris 2018 – Серебряная медаль,"Шампань – это единственный французский регион, где в рамках аппелласьона разрешено производить розовые вина из ассамбляжа белых и красных вин. Цифры «9208» на этикетке вина отражают процентное содержание сортов в бленде: 92% - шардоне, 8% - пино нуар.",природосообразное виноделие,2018,,,,
